id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,B,/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[4]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[1]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[2]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[3]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[4]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[5]/div/div[2]",/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[6]/div/div[2],,,,/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[4]/li[1]/div/div[2],0,"cheapest package"
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,B_1,/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[4]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[1]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[2]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[3]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[4]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[5]/div/div[2]",/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[1]/li[6]/div/div[2],,,,/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[4]/li[2]/div/div[2],10,"most expensive package"
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,Ba,/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[4]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[7]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[1]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[2]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[3]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[4]/div/div[2]",/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[1]/div/div[2],,,,/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[4]/li[1]/div/div[2],0,"cheapest package"
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,Ba_1,/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[4]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[7]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[1]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[2]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[3]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[2]/ul[2]/li[4]/div/div[2]",/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[1]/li[1]/div/div[2],,,,/html/body/div[2]/div[2]/div/div[2]/div[2]/ul[4]/li[2]/div/div[2],10,"most expensive package"
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,B96,/html/body/div[2]/div[2]/div/div[2]/div[5]/ul[1]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[5]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[5]/ul[2]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[5]/ul[2]/li[2]/div/div[2],,,,,NO_PACK,0,
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,BE,/html/body/div[2]/div[2]/div/div[2]/div[4]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[4]/ul[1]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[4]/ul[2]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[4]/ul[2]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[4]/ul[1]/li[4]/div/div[2],,,,NO_PACK,0,
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,A,/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[1]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[1]/li[5]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[1]/div/div[2],,/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[1]/li[6]/div/div[2],NO_PACK,0,
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,A1,/html/body/div[2]/div[2]/div/div[2]/div[7]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[7]/ul[1]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[7]/ul[2]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[7]/ul[2]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[7]/ul[1]/li[5]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[1]/div/div[2],,,NO_PACK,0,
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,A2,/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[2]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[2]/li[3]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[5]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[1]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[6]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[7]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[8]/ul[1]/li[8]/div/div[2]",,NO_PACK,0,
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,http://rh-trafikkskole.no/klasser,AM146,/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[1]/li[2]/div/div[2],"/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[2]/li[2]/div/div[2] /html/body/div[2]/div[2]/div/div[2]/div[9]/ul[2]/li[3]/div/div[2]",/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[2]/li[4]/div/div[2],,/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[2]/li[1]/div/div[2],,,/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[4]/li/div/div[2],0,
