id,name,website,address,municipality,county,lat,long,phone_number,rating,place_id
205traas8172,"2050 Trafikkskole AS",2050.no/,"Leirvegen 6, 2050 Jessheim",Ullensaker,Viken,60.14649929999999,11.1669062,"998 99 988",5,ChIJm_xcrpuBQUYRZ3oAXHaANYQ
3ertraas4324,"3`ern Trafikkskole AS",3ern.no/,"Schwartz gate 2, 3043 Drammen",Drammen,Viken,59.7347247,10.2010675,"32 89 89 70",3.9,ChIJY_fTm7I8QUYREpRDMj5Llu4
aastrafa3705,"Ås Trafikkskole",aastrafikkskole.no/,"Moerveien 14, 1430 Ås",Ås,Viken,59.66136580000001,10.7938835,"64 94 08 53",5,ChIJbYu8a0NbQUYRKoI5wEnctlA
aatrasli1495,"Aas Trafikkskole AS - Lillestrom, Skedsmo",aastrafikk.no/,"Skjettenveien 14, 2010 Strømmen",Lillestrøm,Viken,59.9588206,11.0161422,"906 03 333",5,ChIJQZvNUrJtQUYRrmmU0KxGDYY
abctraas2538,"ABC Trafikkskole AS",abctrafikkskole.net/,"Hagegata 36, 0653 Oslo","Oslo kommune",Oslo,59.9135177,10.7765929,"22 19 56 34",5,ChIJX0dCsFluQUYR9ZcPaPfxBoU
abetrafl9558,"Abe trafikkskole",abe.no/,"Haneborgveien 91, 1472 Fjellhamar",Lørenskog,Viken,59.94094089999999,10.9796689,"67 90 99 23",5,ChIJBxFsQi17QUYR5WEo_2F8ByI
abitraos8105,"Abildsø Trafikkskole",abildso-trafikkskole.no/,"Munkerudtunet 29, 1164 Oslo","Oslo kommune",Oslo,59.85955019999999,10.8122278,"975 17 545",5,ChIJj5A93y5vQUYRvgNC_r36Iho
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,"Rognliveien 15, 3440 Røyken",Asker,Viken,59.7454316,10.4155767,"987 67 171",5,ChIJibjQ8fs-QUYRc5ytfGcthTw
abtraask7394,"AB Trafikkskole (Asker)",abtrafikkskole.no/,"Røykenveien 70B, 1386 Asker",Asker,Viken,59.8276583,10.4381733,"987 67 170",5,ChIJ4S-h64wUQUYRCKLydRbH_Rk
abtrabae0798,"AB Trafikkskole (Bærum)",abtrafikkskole.no/,"Jens Rings vei 30, 1357 Bekkestua",Bærum,Viken,59.9179849,10.5876154,"67 10 46 46",4.8,ChIJt5X0NtFsQUYRxNOVk9AB9h0
abtraosl1549,"AB Trafikksenter",abtrafikksenterasavdrommen.tabs.no/,"Nedre Rommen 1, 0988 Oslo","Oslo kommune",Oslo,59.96288849999999,10.9074807,"22 10 92 50",3.9,ChIJc8xldaR6QUYR2Oo83Qtx3mo
akttraas5878,"Aktiv Trafikkskole AS",aktivtrafikkskole.no/,"Stovner Senter 3, 0985 Oslo","Oslo kommune",Oslo,59.9609166,10.9266828,"909 09 022",4.9,ChIJmcpkbr16QUYRYYYpJ-Q44t8
alfatraf8548,"Alfa Trafikkskole",alfatrafikkskole.no/index.php/arnes,"Pakkhusgata 1C, 2150 Årnes",Nes,Viken,60.1242435,11.4664506,"63 90 19 19",5,ChIJq9JyMPMsQkYRlwUbHgopkq4
alftraje0449,"Alfa Trafikkskole Jessheim",alfatrafikkskole.no/,"Trondheimsvegen - Jessheim 100, 2050 Jessheim",Ullensaker,Viken,60.1447005,11.1690447,"63 97 29 30",,ChIJXcm7Xb2BQUYR3WDjZYWJ1Cg
alntraos5494,"Alna Trafikkskole",alnatrafikkskole.no/,"Risløkkveien 51, 0583 Oslo","Oslo kommune",Oslo,59.9322567,10.8193827,"22 72 02 32",4.5,ChIJ_9tLoclvQUYRbELmWcWsi-U
anntraos9721,"Annas Trafikkskole",annas-trafikkskole.no/,"Holsts gate 10, 0473 Oslo","Oslo kommune",Oslo,59.9316433,10.7617722,"22 37 85 58",5,ChIJ60BtdWtuQUYREqaBVbY1ELo
arnloesk2035,"Arnfinn Loe Skole",arnfinnloeskole.no/,"Stasjonsgata 1, 3300 Hokksund","Øvre Eiker",Viken,59.77237539999999,9.909372200000002,"900 17 811",,ChIJE3cNSGHfQEYRsHqk_xpdPsI
atetraos6431,"A-Team Trafikkskole",a-teamtrafikkskole.no/,"Oscars gate 27, 0352 Oslo","Oslo kommune",Oslo,59.92188530000001,10.7250653,"912 00 500",4.8,ChIJe9Q5A9NtQUYRehyyw9LXf7Y
autolamy7935,"Autoteam Olav Myhre trafikkskole",autoteamnannestad.no/,"Teiealleen 7, 2030 Nannestad",Nannestad,Viken,60.2196115,11.0157616,"63 99 77 17",4.3,ChIJ2fX_9KqEQUYRlPerZIdSmoo
autotraf4044,"Autoteam Trafikkskole",autoteam.no/,"Solheimsgata 1, 2000 Lillestrøm",Lillestrøm,Viken,59.9552468,11.0498823,"63 81 81 01",5,ChIJm6HpkaB8QUYRG23lC8nYuUc
auttrala4836,"Autoriserte Trafikkskolers Landsforbund",atl.no/,"Leif Tronstads plass 6, 1337 Sandvika",Bærum,Viken,59.89298830000001,10.5240223,"22 62 60 80",4,ChIJPSW1ghBvQUYRLhqcb1x86Vo
baemcsko9530,"Bærum Mc Skole",bærummcskole.no/,"Bærumsveien 383, 1346 Gjettum",Bærum,Viken,59.90844629999999,10.5315047,"450 32 278",5,ChIJeZkOm7QTQUYRh_ANZb-B70U
baetraas8291,"Bærum Trafikkskole as",bærumtrafikkskole.no/,"Granåsen 18, 1362 Hosle",Bærum,Viken,59.9362576,10.5843578,"67 14 00 10",4.8,ChIJ116aQi1tQUYRLrvRl-7nHqE
baetragj9649,"Bærum Trafikkskole - Gjettum",bærumtrafikkskole.no/,"Bærumsveien 383, 1346 Gjettum",Bærum,Viken,59.9084659,10.5315123,"67 14 00 10",4.7,ChIJaaikbxUTQUYRNibgwpPMdbw
bedritra5063,"BE Driver trafikkskole",bedrivertrafikkskole.no/,"Schwartz gate 42, 3043 Drammen",Drammen,Viken,59.7330263,10.2084912,"462 17 216",3.6,ChIJ39vTBLM8QUYROB--wIFB_So
bedrscas1953,"Best driving school AS",best-trafikkskole.no/,"Ekebergveien 178, 1162 Oslo","Oslo kommune",Oslo,59.8717256,10.7907414,"414 37 979",3.9,ChIJ8yI1Ny9vQUYRoVzG7uQqM6g
biogbutr7855,"Bil og Buss Trafikkskole",bilogbusstrafikkskole.no/,"Søren Bulls Vei 2, 1051 Oslo","Oslo kommune",Oslo,59.939318,10.8958466,"22 30 20 00",5,ChIJIV0_yThuQUYRzgcg0wiyBVg
bjotraas7184,"Bjørkelangen Trafikkskole AS",bjorkelangentrafikkskole.no/,"Bliksrudveien 6, 1940 Bjørkelangen",Aurskog-Høland,Viken,59.887003,11.5636075,"415 44 857",,ChIJzRGc6MzFQ0YRaxmXrg3fyow
bjtatrda7787,"Bjølsen - Tåsen Trafikkinstitutt DA",bjolsen.no/,"Maridalsveien 264, 0872 Oslo","Oslo kommune",Oslo,59.9473308,10.7597547,"22 23 01 08",,ChIJIUsFlBpuQUYROwLBaef4-6U
blitraos2314,"Blindern Trafikkskole",blinderntrafikkskole.no/,"Apalveien 60, 0371 Oslo","Oslo kommune",Oslo,59.9399501,10.7168658,"923 03 040",5,ChIJsYJ82-dtQUYRXQJLVA8cgmM
bobtraav3754,"BOB Trafikkskole avd Sarpsborg",bob-trafikkskole.no/,"St. Marie gate 96, 1706 Sarpsborg",Sarpsborg,Viken,59.28343389999999,11.1106953,"934 90 800",,ChIJ265N9YYGREYRSfyohiRqXcI
bobtraff8192,"BOB Trafikkskole",bob-trafikkskole.no/,"Ilaveien 28, 1605 Fredrikstad",Fredrikstad,Viken,59.2193073,10.9449105,"934 90 800",3.5,ChIJpXCMiR8DREYR4bbW6P0dVhE
bobtrafm8197,"Bob Trafikkskole",bob-trafikkskole.no/,"Dyreveien 2, 1532 Moss",Moss,Viken,59.4277317,10.6707113,"934 90 800",4.4,ChIJOc1G-qFSQUYRMdzubI6MKD4
