id,name,website,price_url,theory_xpath,firstaid_xpath,night_xpath,mc_intro_xpath,moped_intro_xpath,tg_package_price
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,asker.abtrafikkskole.no/,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[35]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[34]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[36]/td[2]",,,NO_PACK
abtrabae0798,"AB Trafikkskole (Bærum)",bekkestua.abtrafikkskole.no/,bekkestua.abtrafikkskole.no/klasser,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[2]/p[2]","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[4]/p","//*[@id=""main""]/div[1]/div/div/div[6]/div[3]/div[2]/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[9]/div[3]/div[2]/div[2]/p[2]",NO_PACK
baetragj9649,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,"//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[1]/div/div/div[1]/div[2]",,NO_PACK
centtraf2584,"Centrum Trafikkskole",centrum-asker.no/,centrum-asker.no/klasser,/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[3]/div/div[2],,,/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[5]/div/div[2]
eltrasav4734,"Elevens Trafikkskole As /Avd Asker",elevens.no/,elevens.no/,"//*[@id=""PriceT""]/div/div/div[4]/div[1]/div[3]/p","//*[@id=""PriceT""]/div/div/div[4]/div[1]/div[2]/p","//*[@id=""PriceT""]/div/div/div[4]/div[1]/div[4]/p",,,"//*[@id=""PriceT""]/div/div/div[4]/div[1]/div[5]/p"
heggtraf7287,"Heggedal trafikkskole",heggedal-trafikkskole.no/,www.heggedal-trafikkskole.no/227-2/,"//*[@id=""page-8""]/div[3]/div[3]/div/div/div[1]/div/p","//*[@id=""page-8""]/div[3]/div[3]/div/div/div[13]/div/p","//*[@id=""page-8""]/div[3]/div[3]/div/div/div[14]/div/p",,,"//*[@id=""page-8""]/div[3]/div[3]/div/div/div[2]/div/p"
learroey6384,"LEARN Lier og Drammen",learnld.trafikkskoleportalen.no/,learnld.trafikkskoleportalen.no/klasser,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[4]/p",,,NO_PACK
maritraf3899,"Marianne trafikkskole",mariannetrafikkskole.no/,mariannetrafikkskole.no/,"//*[@id=""post-11969""]/div/div[6]/div/div/div/div[1]/div[1]/div/div/ul/li[1] //*[@id=""post-11969""]/div/div[6]/div/div/div/div[1]/div[1]/div/div/ul/li[2]","//*[@id=""post-11969""]/div/div[6]/div/div/div/div[1]/div[1]/div/div/ul/li[2]","//*[@id=""post-11969""]/div/div[6]/div/div/div/div[1]/div[1]/div/div/ul/li[3]",,,"//*[@id=""post-11969""]/div/div[6]/div/div/div/div[1]/div[1]/div/div/div[2]/div/span[2]"
mortraas4883,"Morgendagens trafikkskole A/S",morgendagenstrafikkskole.no/,morgendagenstrafikkskole.no/,"//*[@id=""panel-29-0-1-0""]/div/div/div/div/table/tbody/tr[10]/td[2]","//*[@id=""panel-29-0-1-0""]/div/div/div/div/table/tbody/tr[11]/td[2]","//*[@id=""panel-29-0-1-0""]/div/div/div/div/table/tbody/tr[12]/td[2]",,,NO_PACK
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,rh-trafikkskole.no/klasser,/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[2]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[1]/ul[2]/li[6]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[3]/ul[1]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[6]/ul[2]/li[1]/div/div[2],/html/body/div[2]/div[2]/div/div[2]/div[9]/ul[2]/li[1]/div/div[2],NO_PACK
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/klasse-b/,"//*[@id=""tablepress-13""]/tbody/tr[2]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[4]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[3]/td[2]",,,"//*[@id=""tablepress-13""]/tbody/tr[1]/td[2]"
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/motorsykkel-mc-lappen-a/Asker-B%C3%A6rum/,,,,/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3,,NO_PACK
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/trafikalt-grunnkurs/Asker-B%C3%A6rum/,/html/body/section[3]/div[2]/div[2]/div[2]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[3]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[4]/div[2]/h3,,,/html/body/section[2]/div/div/div[1]/div/div[4]/div
wrigtraf4330,"Wright Trafikkskole AS Drammen",wright.no/,https://wright.no/forerkort/trafikalt-grunnkurs/Drammen/,/html/body/section[3]/div[2]/div[2]/div[2]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[3]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[4]/div[2]/h3,,,/html/body/section[2]/div/div/div[1]/div/div[4]/div
baetraas8291,"Bærum Trafikkskole",bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,"//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[2]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[1]/div/div/div[1]/div[2]",,NO_PACK
fortraas1989,"Fornebu Trafikkskole AS",fornebutrafikkskole.com/,https://fornebutrafikkskole.com/klasser,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[6]/p[2]",,,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div/div[7]/p"
